capacity_mah_g,cycle_retention_pct,chemistry,Ni_fraction,Mn_fraction,Co_fraction,particle_size_um,coating_type,sinter_temp_c,electrolyte
125.62,88.52,LFP,0,0,0,3.2,carbon,539,gel
114.04,89.41,LMO,0,0.3,0,4.4,oxide,558,solid
156.96,77.57,NCA,0.34,0,0.17,5.6,polymer,577,ionic_liquid
114.88,81.18,solid_state,0,0,0,6.8,none,596,carbonate
181.8,82.56,NMC,0.5,0.45,0.05,8.0,carbon,615,gel
106.72,87.44,LFP,0,0,0,9.2,oxide,634,solid
107.14,78.33,LMO,0,0.2,0,10.4,polymer,653,ionic_liquid
124.86,78.41,NCA,0.1,0,0.17,11.6,none,672,carbonate
119.98,90.1,solid_state,0,0,0,12.8,carbon,691,gel
137.7,83.4,NMC,0.26,0.35,0.05,14.0,oxide,710,solid
108.82,76.36,LFP,0,0,0,15.2,,729,ionic_liquid
100.24,77.25,LMO,0,0.45,0,16.4,none,748,carbonate
171.96,84.13,NCA,0.5,0,0.17,,carbon,767,gel
115.48,91.9,solid_state,0,0,0,2.8,oxide,786,solid
187.2,72.0,NMC,0.66,0.25,0.05,4.0,polymer,805,ionic_liquid
116.32,78.16,LFP,0,0,0,5.2,none,824,carbonate
128.74,89.05,LMO,0,0.35,0,6.4,carbon,,gel
142.26,87.85,NCA,0.26,0,0.17,7.6,oxide,862,solid
108.58,80.82,solid_state,0,0,0,8.8,polymer,881,ionic_liquid
155.1,72.84,NMC,0.42,0.5,0.05,10.0,none,900,carbonate
121.42,87.08,LFP,0,0,0,11.2,carbon,919,gel
109.84,87.97,LMO,0,0.25,0,12.4,,938,solid
186.36,73.57,NCA,0.66,0,0.17,13.6,polymer,537,ionic_liquid
101.68,79.74,solid_state,0,0,0,14.8,none,556,carbonate
135.0,83.68,NMC,0.18,0.4,0.05,16.0,carbon,575,gel
102.52,86.0,LFP,0,0,0,,oxide,594,solid
117.34,79.77,LMO,0,0.5,0,2.4,polymer,613,ionic_liquid
168.66,77.29,NCA,0.42,0,0.17,3.6,none,632,carbonate
130.18,91.54,solid_state,0,0,0,4.8,carbon,651,gel
172.5,82.28,NMC,0.58,0.3,0.05,6.0,oxide,670,solid
110.02,77.8,LFP,0,0,0,7.2,polymer,689,ionic_liquid
110.44,78.69,LMO,0,0.4,0,8.4,none,708,carbonate
148.56,88.13,NCA,0.18,0,0.17,9.6,,727,gel
111.28,90.46,solid_state,0,0,0,10.8,oxide,,solid
149.4,73.12,NMC,0.34,0.2,0.05,12.0,polymer,765,ionic_liquid
103.12,76.72,LFP,0,0,0,13.2,none,784,carbonate
115.54,87.61,LMO,0,0.3,0,14.4,carbon,803,gel
171.66,83.85,NCA,0.58,0,0.17,15.6,oxide,822,solid
104.38,79.38,solid_state,0,0,0,,polymer,841,ionic_liquid
131.7,76.84,NMC,0.1,0.45,0.05,2.0,none,860,carbonate
131.62,88.52,LFP,0,0,0,3.2,carbon,879,gel
111.04,89.41,LMO,0,0.2,0,4.4,oxide,898,solid
153.96,77.57,NCA,0.34,0,0.17,5.6,polymer,917,ionic_liquid
111.88,81.18,solid_state,0,0,0,6.8,,936,carbonate
178.8,82.56,NMC,0.5,0.35,0.05,8.0,carbon,535,gel
112.72,87.44,LFP,0,0,0,9.2,oxide,554,solid
113.14,78.33,LMO,0,0.45,0,10.4,polymer,573,ionic_liquid
121.86,78.41,NCA,0.1,0,0.17,11.6,none,592,carbonate
116.98,90.1,solid_state,0,0,0,12.8,carbon,611,gel
134.7,83.4,NMC,0.26,0.25,0.05,14.0,oxide,630,solid
105.82,76.36,LFP,0,0,0,15.2,polymer,,ionic_liquid
106.24,77.25,LMO,0,0.35,0,,none,668,carbonate
177.96,84.13,NCA,0.5,0,0.17,17.6,carbon,687,gel
112.48,91.9,solid_state,0,0,0,2.8,oxide,706,solid
184.2,72.0,NMC,0.66,0.5,0.05,4.0,,725,ionic_liquid
113.32,78.16,LFP,0,0,0,5.2,none,744,carbonate
125.74,89.05,LMO,0,0.25,0,6.4,carbon,763,gel
148.26,87.85,NCA,0.26,0,0.17,7.6,oxide,782,solid
114.58,80.82,solid_state,0,0,0,8.8,polymer,801,ionic_liquid
152.1,72.84,NMC,0.42,0.4,0.05,10.0,none,820,carbonate
118.42,87.08,LFP,0,0,0,11.2,carbon,839,gel
106.84,87.97,LMO,0,0.5,0,12.4,oxide,858,solid
183.36,73.57,NCA,0.66,0,0.17,13.6,polymer,877,ionic_liquid
107.68,79.74,solid_state,0,0,0,14.8,none,896,carbonate
141.0,83.68,NMC,0.18,0.3,0.05,,carbon,915,gel
99.52,86.0,LFP,0,0,0,17.2,,934,solid
114.34,79.77,LMO,0,0.4,0,2.4,polymer,533,ionic_liquid
165.66,77.29,NCA,0.42,0,0.17,3.6,none,,carbonate
127.18,91.54,solid_state,0,0,0,4.8,carbon,571,gel
178.5,82.28,NMC,0.58,0.2,0.05,6.0,oxide,590,solid
116.02,77.8,LFP,0,0,0,7.2,polymer,609,ionic_liquid
107.44,78.69,LMO,0,0.3,0,8.4,none,628,carbonate
145.56,88.13,NCA,0.18,0,0.17,9.6,carbon,647,gel
108.28,90.46,solid_state,0,0,0,10.8,oxide,666,solid
146.4,73.12,NMC,0.34,0.45,0.05,12.0,polymer,685,ionic_liquid
109.12,76.72,LFP,0,0,0,13.2,none,704,carbonate
121.54,87.61,LMO,0,0.2,0,14.4,,723,gel
168.66,83.85,NCA,0.58,0,0.17,,oxide,742,solid
101.38,79.38,solid_state,0,0,0,16.8,polymer,761,ionic_liquid
128.7,76.84,NMC,0.1,0.35,0.05,2.0,none,780,carbonate
128.62,88.52,LFP,0,0,0,3.2,carbon,799,gel
117.04,89.41,LMO,0,0.45,0,4.4,oxide,818,solid
159.96,77.57,NCA,0.34,0,0.17,5.6,polymer,837,ionic_liquid
108.88,81.18,solid_state,0,0,0,6.8,none,856,carbonate
175.8,82.56,NMC,0.5,0.25,0.05,8.0,carbon,,gel
109.72,87.44,LFP,0,0,0,9.2,oxide,894,solid
110.14,78.33,LMO,0,0.35,0,10.4,polymer,913,ionic_liquid
